codigo,Nombre,ACC_deporte_tiempo_TransportePublico,ACC_deporte_tiempo_coche,ACC_educacion_tiempo_TransportePublico_Infantil_Publicos,ACC_educacion_tiempo_TransportePublico_Infantil_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Preinfantil_Publicos,ACC_educacion_tiempo_TransportePublico_Preinfantil_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Primaria_Publicos,ACC_educacion_tiempo_TransportePublico_Primaria_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Secundaria_Publicos,ACC_educacion_tiempo_TransportePublico_Secundaria_PublicosPrivados,ACC_educacion_tiempo_coche_Infantil_Publicos,ACC_educacion_tiempo_coche_Infantil_PublicosPrivados,ACC_educacion_tiempo_coche_Preinfantil_Publicos,ACC_educacion_tiempo_coche_Preinfantil_PublicosPrivados,ACC_educacion_tiempo_coche_Primaria_Publicos,ACC_educacion_tiempo_coche_Primaria_PublicosPrivados,ACC_educacion_tiempo_coche_Secundaria_Publicos,ACC_educacion_tiempo_coche_Secundaria_PublicosPrivados,ACC_farmacias_tiempo_TransportePublico,ACC_farmacias_tiempo_coche,ACC_gasolineras_tiempo_coche,ACC_sanidad_tiempo_TransportePublico_OfertaAsistencial_MedicinaGeneralDeFamilia,ACC_sanidad_tiempo_TransportePublico_OfertaAsistencial_OdontologiaEstomatologia,ACC_sanidad_tiempo_coche_OfertaAsistencial_MedicinaGeneralDeFamilia,ACC_sanidad_tiempo_coche_OfertaAsistencial_OdontologiaEstomatologia,ATR_ServiciosDeEducacion_ClusterPoblacion,ATR_ServiciosDeEducacion_ClusterEstadistica,ATR_CalidadDelAire_ClusterPoblacion,ATR_CalidadDelAire_ClusterEstadistica,ATR_TipologiaDePoblacion_ClusterPoblacion,ATR_TipologiaDePoblacion_ClusterEstadistica,ATR_AtractividadDeLosInmuebles_ClusterPoblacion,ATR_AtractividadDeLosInmuebles_ClusterEstadistica,ATR_AtractividadDeLasInfraestructurasDeTransporte_ClusterPoblacion,ATR_AtractividadDeLasInfraestructurasDeTransporte_ClusterEstadistica,ATR_DinamismosEconomico_ClusterPoblacion,ATR_DinamismosEconomico_ClusterEstadistica,OSM_supermercados_tiempo_coche,OSM_supermercados_tiempo_TransportePublico,IDE_PoblacionTotal,IDE_PrecioPorMetroCuadrado
28125,Robledo de Chavela,31.51,5.5,32.84,32.84,31.49,31.49,34.18,34.18,31.4,31.4,6.72,6.72,5.52,5.52,7.93,7.93,6.65,6.65,27.48,4.82,5.17,28.26,134.92,5.67,58.07,0.89,0.76,0.69,0.44,0.52,0.47,0.55,0.57,1.08,0.59,0.51,0.5,9,35,4763,1780
28126,Robregordo,12.32,2.67,73.09,73.09,73.09,73.09,21.21,21.21,21.21,21.21,17.38,17.38,17.38,17.38,11.48,11.48,11.48,11.48,76.82,18.92,2.68,4.37,120.93,0.97,57.87,0.77,0.83,0.44,0.5,0.56,0.56,0.49,0.5,0.7,0.58,0.53,0.53,5,28,73,750
28128,Rozas de Puerto Real,14.42,3.19,13.35,13.35,13.35,13.35,13.34,28.94,39.02,40.87,3.76,3.76,3.76,3.76,3.76,6.81,10.42,10.23,9.8,3.14,8.04,10.83,170.31,2.12,68.67,0.92,0.89,0.59,0.44,0.47,0.5,0.47,0.47,0.74,1.11,0.56,0.68,10,37,581,1329
28129,San Agustín del Guadalix,52.31,11.95,51.66,51.67,73.2,73.2,53.68,53.68,51.96,51.96,12.12,11.44,21.81,21.81,12.34,12.34,11.35,11.35,46.27,9.95,9.9,20.06,20.06,4.54,4.54,0.71,0.62,0.4,0.44,0.5,0.45,0.5,0.44,0.59,0.65,0.5,0.39,3,25,13849,3098
28130,San Fernando de Henares,8.23,2.31,9.42,8.86,8.95,8.95,9.81,9.81,3.92,3.92,3.54,3.25,2.76,2.76,3.67,3.67,1.94,1.94,8.7,4.37,4.25,9.94,9.94,3.03,3.03,0.76,0.87,0.42,0.44,0.59,0.54,0.46,0.46,0.58,0.39,0.65,0.64,4,27,38969,2906
28131,San Lorenzo de El Escorial,27.41,7.66,9.3,8.11,58.97,58.97,8.74,13.81,9.04,13.93,4.28,3.91,18.29,18.29,5.32,7.67,5.43,7.71,10.43,3.57,3.07,12.72,116.58,5.36,53.12,0.67,0.67,0.4,0.68,0.55,0.54,0.54,0.56,0.7,0.63,0.57,0.68,3,25,18772,2659
28132,San Martín de la Vega,15.92,4.09,11.76,10.07,4.2,4.2,14.13,13.22,17.76,13.23,4.48,3.79,1.17,1.17,5.59,5.25,4.98,4.27,10.5,3.1,2.45,4.18,86.95,1.08,26.26,0.65,0.68,0.43,1.33,0.5,0.4,0.4,0.41,0.56,0.93,0.47,0.38,6,30,20664,1687
28133,San Martín de Valdeiglesias,13.14,3.45,10.25,10.25,9.8,9.8,10.79,10.79,7.31,7.31,3.54,3.54,2.61,2.61,3.26,3.26,2.19,2.19,6.76,3.38,5.43,5.79,137.12,1.13,59.72,0.69,0.71,0.69,0.44,0.56,0.51,0.44,0.62,0.71,0.59,0.52,0.54,3,25,9120,1802
28135,Santa María de la Alameda,20.81,4.24,113.07,113.07,113.05,113.05,84.72,84.72,96.19,96.19,27.84,27.84,27.84,27.84,22.19,22.19,23.74,23.74,31.23,5.2,7.52,38.88,233.36,6.21,65.02,0.92,0.95,0.59,0.44,0.49,0.46,0.49,0.48,0.65,0.48,0.49,0.54,11,39,1516,1306
28136,Santorcaz,8.63,3.1,8.55,8.55,54.58,54.58,8.56,8.56,47.7,47.7,2.8,2.8,5.88,5.88,2.8,2.8,22.68,22.68,3.21,0.78,16.34,2.82,111.69,0.6,42.27,0.77,0.74,0.6,0.42,0.45,0.39,0.46,0.46,0.42,0.5,0.47,0.45,10,37,998,1506
28137,Santos de la Humosa (Los),13.83,2.62,14.91,13.7,11.0,11.0,18.82,18.82,49.43,49.43,3.7,3.81,2.92,2.92,4.48,4.48,17.8,17.8,6.7,3.5,8.97,11.55,104.4,2.87,37.37,0.77,0.74,0.41,0.67,0.49,0.44,0.51,0.46,0.42,0.49,0.44,0.4,9,35,2797,1209
28138,Serna del Monte (La),6.55,0.6,28.72,28.72,29.63,29.63,17.33,17.33,17.33,17.33,6.73,6.73,6.79,6.79,6.13,6.13,6.13,6.13,40.77,4.35,2.92,3.58,102.78,0.68,52.5,0.77,0.83,0.44,0.5,0.51,0.51,0.44,0.49,0.67,0.51,0.57,0.6,9,35,105,696
28140,Serranillos del Valle,12.68,2.26,4.61,5.37,3.45,3.45,5.78,5.78,26.09,26.09,1.19,1.35,0.96,0.96,1.41,1.41,7.88,7.88,1.33,0.44,5.49,2.95,26.01,0.94,8.84,0.65,0.6,0.43,0.59,0.42,0.45,0.45,0.46,0.58,0.58,0.47,0.5,3,25,4632,1581
28141,Sevilla la Nueva,7.76,2.71,8.19,8.37,5.57,5.57,7.92,8.21,6.26,7.53,2.91,2.82,2.29,2.29,2.83,3.02,3.12,3.25,7.65,1.99,3.58,8.27,104.12,2.74,32.6,0.69,0.67,0.69,0.35,0.46,0.49,0.45,0.4,0.61,0.66,0.45,0.46,3,25,9694,2381
28143,Somosierra,10.5,1.85,73.84,73.84,73.84,73.84,22.83,22.83,22.83,22.83,19.6,19.6,19.6,19.6,13.7,13.7,13.7,13.7,76.32,21.08,2.58,5.58,122.44,2.62,60.07,0.77,0.83,0.44,0.5,0.38,0.37,0.48,0.49,0.68,0.61,0.56,0.6,3,25,98,176
28144,Soto del Real,15.15,3.07,14.91,15.35,25.77,25.77,13.37,13.51,11.49,12.64,4.02,3.6,10.64,10.64,3.66,3.37,2.62,2.71,14.38,4.27,6.17,18.92,102.14,3.74,37.18,0.66,0.65,0.57,0.26,0.54,0.51,0.55,0.44,0.63,0.41,0.55,0.64,3,25,9436,2711
28145,Talamanca de Jarama,4.29,1.6,9.93,10.19,10.37,10.37,9.49,9.49,9.49,9.49,4.14,3.86,4.24,4.24,4.03,4.03,4.03,4.03,3.48,1.54,7.53,3.9,62.83,0.93,19.68,0.94,1.09,0.57,0.44,0.44,0.45,0.49,0.51,0.64,0.48,0.41,0.37,8,34,4526,1707
28146,Tielmes,1.15,0.23,7.62,7.62,8.35,8.35,6.9,6.9,135.19,135.19,2.02,2.02,2.52,2.52,1.52,1.52,7.98,7.98,7.63,3.48,1.92,9.58,101.16,1.82,33.23,0.79,0.86,0.6,0.42,0.57,0.58,0.45,0.48,0.41,0.48,0.49,0.52,4,27,2807,1223
28147,Titulcia,6.87,2.42,3.97,3.97,3.77,3.77,4.18,4.18,28.62,28.62,2.15,2.15,1.08,1.08,3.22,3.22,8.06,8.06,3.07,1.55,5.08,3.15,172.87,0.65,30.35,0.78,0.74,0.45,0.72,0.52,0.49,0.49,0.47,0.4,0.43,0.5,0.55,9,35,1393,1240
28149,Torrejón de la Calzada,4.67,0.68,9.67,10.15,74.41,74.41,8.61,9.61,8.11,9.85,2.67,2.63,7.4,7.4,1.73,2.0,1.64,2.09,4.84,1.48,2.29,8.06,43.8,2.83,7.69,0.65,0.64,0.43,0.59,0.49,0.53,0.46,0.47,0.55,0.47,0.49,0.57,3,25,10366,2244
28150,Torrejón de Velasco,9.55,2.73,4.88,6.82,6.3,6.3,3.45,7.09,68.81,39.76,1.5,2.3,2.02,2.02,0.97,2.44,7.3,5.61,9.02,2.78,3.42,5.58,136.12,1.67,12.18,0.84,0.81,0.43,0.59,0.38,0.41,0.47,0.55,0.56,0.49,0.43,0.42,8,34,4887,2244
28151,Torrelaguna,6.24,1.47,2.34,2.34,32.01,32.01,2.34,2.34,9.86,9.86,0.76,0.76,7.12,7.12,0.76,0.76,2.56,2.56,1.47,0.46,1.17,3.89,106.39,1.17,43.11,0.76,0.86,0.57,0.5,0.54,0.55,0.47,0.59,0.79,0.36,0.5,0.45,10,37,4992,1331
28152,Torrelodones,12.03,4.18,16.99,15.34,44.72,44.72,16.87,17.6,16.44,17.58,5.66,5.52,12.25,12.25,5.47,6.16,5.47,6.3,9.65,3.26,4.73,16.62,105.84,5.76,33.78,0.68,0.46,0.4,0.5,0.58,0.44,0.59,0.45,0.62,0.46,0.57,0.49,3,25,25250,3101
28153,Torremocha de Jarama,14.39,4.34,8.36,8.36,8.73,8.73,25.04,25.04,29.41,29.41,2.87,2.87,3.02,3.02,8.23,8.23,8.69,8.69,9.46,3.27,8.5,12.36,147.74,3.77,49.83,1.17,1.27,0.44,0.5,0.53,0.53,0.47,0.48,0.5,0.39,0.51,0.5,10,37,1134,3004
28154,Torres de la Alameda,22.61,5.62,17.47,17.47,16.01,16.01,20.75,20.75,22.9,22.9,4.45,4.45,3.97,3.97,5.18,5.18,5.5,5.5,13.59,2.76,2.81,13.38,119.27,2.36,29.97,0.69,0.76,0.42,0.67,0.48,0.57,0.47,0.51,0.6,0.39,0.54,0.6,3,25,7742,1547
28155,Valdaracete,14.13,20.4,4.85,4.85,7.37,7.37,2.33,2.33,14.26,14.26,0.91,0.91,1.5,1.5,0.32,0.32,12.58,12.58,99.6,9.3,8.67,5.05,104.46,0.83,44.43,0.78,0.74,0.6,0.42,0.45,0.46,0.46,0.53,0.47,0.63,0.52,0.56,8,34,653,576
28156,Valdeavero,15.37,2.3,10.55,10.55,48.62,48.62,10.54,10.54,52.02,52.02,2.54,2.54,17.11,17.11,2.54,2.54,15.17,15.17,11.46,3.58,19.55,10.12,115.48,1.76,39.05,0.78,0.62,0.44,0.44,0.53,0.49,0.49,0.47,0.43,0.69,0.47,0.49,10,37,1817,1521
28157,Valdelaguna,14.92,1.68,2.6,2.6,2.6,2.6,19.57,19.57,24.25,24.25,0.62,0.62,0.62,0.62,8.69,8.69,7.7,7.7,10.5,3.03,8.68,5.82,117.45,1.1,36.37,0.84,0.8,0.6,0.42,0.48,0.47,0.47,0.5,0.44,0.54,0.46,0.42,8,34,1079,878
28158,Valdemanco,10.9,3.33,9.99,9.99,9.99,9.99,33.49,33.49,21.38,21.38,2.87,2.87,2.87,2.87,5.68,5.68,10.37,10.37,11.44,3.04,7.68,14.09,120.52,1.98,47.7,0.83,0.89,0.44,0.5,0.51,0.51,0.53,0.5,0.5,0.39,0.46,0.43,6,30,1065,1618
28159,Valdemaqueda,14.41,2.45,14.04,14.04,14.04,14.04,24.53,24.53,21.75,21.75,3.6,3.6,3.6,3.6,11.46,11.46,10.18,10.18,9.1,2.64,8.71,9.96,125.53,2.01,61.74,0.92,0.95,0.59,0.44,0.47,0.45,0.52,0.48,0.56,0.62,0.5,0.54,3,25,836,1430
28160,Valdemorillo,15.64,6.24,19.87,20.57,18.78,18.78,19.59,21.12,19.59,21.12,5.72,5.48,5.32,5.32,5.94,5.36,5.94,5.36,25.61,5.65,4.25,18.72,120.47,4.44,40.85,0.65,0.64,0.69,0.35,0.47,0.45,0.6,0.55,0.64,0.47,0.51,0.53,4,27,14139,2637
28162,Valdeolmos-Alalpardo,9.18,2.63,14.43,14.16,14.06,14.06,16.83,15.76,30.5,26.55,5.31,4.81,5.36,5.36,5.65,5.35,9.51,8.39,12.81,6.02,8.57,14.82,20.06,2.21,7.96,0.73,0.63,0.57,0.44,0.44,0.44,0.5,0.43,0.59,0.17,0.44,0.5,8,34,4579,2576
28163,Valdepiélagos,12.76,2.7,4.39,4.39,4.39,4.39,44.39,44.39,44.4,44.4,0.77,0.77,0.77,0.77,7.29,7.29,7.29,7.29,6.41,1.35,11.9,4.88,95.86,0.86,24.05,0.92,0.82,0.44,0.44,0.48,0.54,0.47,0.47,0.45,0.99,0.47,0.49,10,37,623,1536
28164,Valdetorres de Jarama,9.97,3.71,8.35,8.35,6.6,6.6,10.09,10.09,10.09,10.09,3.14,3.14,3.34,3.34,2.94,2.94,2.94,2.94,4.87,2.83,5.53,10.75,55.03,3.59,14.12,0.64,0.61,0.57,0.44,0.5,0.59,0.48,0.49,0.61,0.37,0.47,0.5,3,25,5050,1768
28165,Valdilecha,15.58,4.25,11.95,11.95,11.83,11.83,12.07,12.07,12.07,12.07,3.5,3.5,3.47,3.47,3.53,3.53,3.53,3.53,12.07,3.25,9.53,5.3,148.83,1.58,33.45,0.8,0.81,0.64,0.42,0.56,0.62,0.44,0.52,0.61,0.48,0.45,0.48,8,34,3228,1147
28166,Valverde de Alcalá,12.47,2.95,104.85,104.85,88.44,88.44,137.68,137.68,35.06,35.06,9.4,9.4,7.26,7.26,13.68,13.68,12.35,12.35,11.17,3.0,9.98,9.7,115.78,2.43,36.97,0.77,0.73,0.6,0.42,0.5,0.48,0.52,0.46,0.41,0.47,0.44,0.45,7,32,555,1211
28167,Velilla de San Antonio,2.0,1.28,6.18,6.51,31.49,31.49,7.2,7.2,7.27,7.27,3.03,3.06,14.19,14.19,3.58,3.58,2.12,2.12,3.27,2.12,8.33,6.27,75.16,2.52,17.83,0.73,0.79,0.42,0.44,0.44,0.35,0.43,0.44,0.53,0.46,0.55,0.5,3,25,14008,2366
28168,Vellón (El),9.56,2.12,10.28,10.28,7.7,7.7,12.86,12.86,39.16,39.16,3.27,3.27,3.08,3.08,3.45,3.45,6.61,6.61,6.8,2.59,7.16,1.5,131.28,0.83,36.33,0.78,0.85,0.44,0.5,0.56,0.55,0.48,0.53,0.43,0.25,0.45,0.41,6,30,2160,2549
28169,Venturada,11.66,2.34,26.13,26.13,26.26,26.26,25.99,25.99,25.99,25.99,6.54,6.54,5.8,5.8,7.29,7.29,7.29,7.29,14.18,3.29,6.2,19.07,130.72,5.54,38.37,0.77,0.84,0.44,0.5,0.57,0.56,0.57,0.55,0.5,0.41,0.5,0.48,3,25,2577,2109
28170,Villaconejos,3.1,0.72,7.11,7.11,10.9,10.9,3.32,3.32,34.1,34.1,2.23,2.23,3.68,3.68,0.78,0.78,13.12,13.12,8.62,4.17,1.87,4.15,113.19,1.07,38.15,0.91,0.87,0.43,0.72,0.53,0.56,0.45,0.52,0.68,0.6,0.47,0.51,5,28,3487,1463
28171,Villa del Prado,11.29,3.99,8.61,8.61,8.95,8.95,8.28,8.28,11.29,11.29,11.31,11.31,11.26,11.26,11.36,11.36,8.07,8.07,6.48,5.77,3.55,11.83,125.44,9.14,55.47,0.69,0.68,0.69,0.35,0.59,0.65,0.44,0.59,0.69,0.95,0.47,0.5,3,25,7424,1205
28172,Villalbilla,16.63,3.61,37.41,32.07,28.93,28.93,41.55,38.77,29.09,32.76,7.77,6.38,7.24,7.24,8.51,7.95,5.54,6.59,13.62,2.51,2.8,31.45,115.63,8.2,33.34,0.68,0.78,0.42,0.67,0.34,0.44,0.52,0.61,0.6,0.41,0.46,0.41,5,28,17967,2268
28173,Villamanrique de Tajo,9.55,2.51,7.74,7.74,7.74,7.74,23.02,23.02,177.49,177.49,1.97,1.97,1.97,1.97,9.97,9.97,13.25,13.25,3.18,0.7,13.33,2.7,261.0,0.54,44.63,0.93,0.89,0.6,0.42,0.52,0.55,0.48,0.5,0.49,0.97,0.5,0.6,12,40,820,924
28174,Villamanta,9.57,2.5,9.8,9.8,7.79,7.79,11.82,11.82,87.84,87.84,2.33,2.33,1.84,1.84,2.83,2.83,9.51,9.51,9.69,1.94,4.64,17.71,94.65,3.82,35.85,0.78,0.66,0.59,0.35,0.52,0.58,0.46,0.5,0.42,0.71,0.48,0.5,3,25,2855,2795
28175,Villamantilla,13.03,2.62,13.71,13.71,12.25,12.25,15.17,15.17,15.17,15.17,2.61,2.61,2.82,2.82,2.4,2.4,2.4,2.4,6.98,2.68,7.53,10.6,124.98,2.78,37.4,0.78,0.63,0.59,0.35,0.5,0.46,0.54,0.46,0.44,0.79,0.44,0.41,9,35,1620,1539
28176,Villanueva de la Calzada,13.97,4.02,17.6,14.9,30.29,30.29,17.93,19.02,17.72,18.91,5.35,4.52,10.05,10.05,5.55,6.99,5.71,7.08,13.7,4.05,6.06,23.44,17.52,11.63,6.46,0.58,0.7904575163398693,0.4,0.5088815789473684,0.49915032679738564,0.49607843137254903,0.6,0.49392156862745096,0.43,0.5462745098039217,0.55,0.49751633986928107,3,25,23714,3268
28177,Villanueva del Pardillo,5.2,3.12,5.57,5.32,29.11,29.11,4.12,5.69,5.04,7.05,3.27,2.82,12.71,12.71,3.51,3.44,2.3,2.98,10.0,4.54,2.86,9.06,25.75,4.64,11.19,0.64,0.64,0.4,0.68,0.48,0.43,0.53,0.49,0.57,0.22,0.44,0.4,3,25,17994,3092
28178,Villanueva de Perales,9.17,2.82,7.42,7.42,4.43,4.43,10.42,10.42,14.7,14.7,2.88,2.88,2.52,2.52,3.23,3.23,5.12,5.12,3.08,1.65,10.8,4.13,116.48,1.02,36.7,0.79,0.73,0.59,0.35,0.48,0.47,0.54,0.46,0.44,1.1,0.46,0.45,9,35,1718,1429
28179,Villar del Olmo,4.02,0.85,30.12,30.12,30.12,30.12,23.75,23.75,23.75,23.75,6.89,6.89,6.89,6.89,5.11,5.11,5.11,5.11,31.31,7.35,5.78,32.05,163.98,7.29,36.97,1.02,0.98,0.6,0.42,0.53,0.53,0.48,0.5,0.43,0.53,0.49,0.54,6,30,2274,1442
28180,Villarejo de Salvanés,4.5,0.78,7.13,8.14,8.87,8.87,5.74,7.8,9.57,9.67,1.73,2.01,2.17,2.17,1.38,2.14,2.53,2.65,6.88,1.38,4.52,7.25,90.26,1.48,35.48,0.67,0.76,0.64,0.42,0.5,0.52,0.47,0.56,0.67,0.53,0.53,0.55,7,32,7887,1639
28181,Villaviciosa de Odón,29.02,6.09,21.38,19.81,53.58,53.58,21.79,21.68,15.65,19.21,5.8,5.48,14.78,14.78,5.74,6.33,5.71,6.43,11.4,4.06,6.47,26.27,90.94,7.0,22.03,0.65,0.57,0.43,0.6,0.59,0.55,0.63,0.48,0.54,0.38,0.59,0.55,5,28,29294,3241
28182,Villavieja del Lozoya,12.7,3.65,10.93,10.93,10.93,10.93,38.31,38.31,38.31,38.31,2.9,2.9,2.9,2.9,8.45,8.45,8.45,8.45,10.57,2.59,6.72,12.24,146.59,3.08,55.24,0.85,0.92,0.44,0.5,0.47,0.46,0.51,0.47,0.61,0.51,0.46,0.43,9,35,327,2113
28183,Zarzalejo,3.57,1.28,12.84,12.84,14.4,14.4,11.28,11.28,47.24,47.24,3.32,3.32,3.58,3.58,3.05,3.05,16.03,16.03,9.83,2.79,8.97,25.8,148.34,6.3,51.02,0.77,0.7,0.59,0.44,0.54,0.48,0.52,0.46,0.61,0.42,0.49,0.52,3,25,1870,1460
28902,Puentes Viejas,29.74,13.04,34.3,34.3,36.22,36.22,32.38,32.38,27.49,27.49,12.89,12.89,13.18,13.18,12.59,12.59,11.27,11.27,13.13,4.11,10.45,13.28,142.82,3.74,54.58,0.77,0.83,0.44,0.5,0.47,0.46,0.53,0.5,0.55,0.47,0.44,0.4,8,34,774,1263
